"","year","country","number_of_attacks","eventsLT1hr","success","suicide_attack","confirmed_fatalities","confirmed_us_fatal","nkillter","nwound","nwoundus","nwoundte","involved_property","ransom","atktrg_gov","atktrg_diplom","atktrg_relig","atktrg_air","atktrg_military","atktrg_buss","atktrg_priv","with_explosives","with_sabotage","with_firearm"
"198",1975,"El Salvador",3,0,3,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
"199",1975,"Ethiopia",4,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,1,3,0,0,0,1
"200",1975,"France",39,0,37,0,3,0,0,25,0,0,36,0,1,10,0,4,2,9,2,31,0,4
"201",1975,"Germany",35,1,31,0,1,0,0,12,0,0,29,1,6,3,1,1,0,5,4,23,0,3
"202",1975,"Greece",4,0,4,0,1,1,0,0,0,0,3,0,1,0,0,0,2,0,1,1,0,1
"203",1975,"Guatemala",5,0,4,0,23,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,5
"204",1975,"India",1,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"205",1975,"Iran",13,0,12,0,8,2,0,0,0,0,5,0,1,5,0,0,2,0,1,6,0,7
"206",1975,"Iraq",1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"207",1975,"Ireland",7,1,7,0,7,0,0,0,0,0,2,1,0,0,0,1,0,1,4,2,0,2
"208",1975,"Israel",2,0,2,0,24,0,0,62,0,0,2,0,0,0,0,0,0,1,1,1,0,1
"209",1975,"Italy",7,1,7,0,0,0,0,0,0,0,6,0,1,1,0,0,0,3,0,3,0,1
"210",1975,"Japan",12,0,12,0,0,0,0,2,0,0,12,0,0,0,0,0,1,1,1,11,0,0
"211",1975,"Kenya",4,0,4,0,27,0,0,100,0,0,4,0,1,0,0,0,0,2,0,4,0,0
"212",1975,"Kuwait",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
"213",1975,"Lebanon",15,4,15,0,28,0,0,29,0,0,10,2,1,2,2,4,1,3,0,8,0,3
"214",1975,"Malaysia",3,1,3,0,0,0,0,3,0,0,3,0,0,1,0,0,0,0,1,2,0,1
"215",1975,"Mexico",10,1,9,0,32,0,0,5,0,0,8,1,1,3,0,0,1,5,0,3,0,6
"216",1975,"Namibia",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"217",1975,"Netherlands",4,2,4,0,4,0,0,2,0,0,3,1,0,2,0,0,0,1,0,1,0,3
"218",1975,"Nicaragua",1,0,1,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"219",1975,"Pakistan",2,0,2,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
"220",1975,"Peru",2,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"221",1975,"Philippines",4,2,4,0,1,0,0,45,0,0,1,2,0,0,0,2,0,1,0,1,0,0
"222",1975,"Portugal",4,0,4,0,0,0,0,0,0,0,4,0,0,2,0,1,0,1,0,4,0,0
"223",1975,"Somalia",1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"224",1975,"Spain",136,1,133,0,31,0,0,2,0,0,107,0,5,2,3,1,5,53,16,38,0,42
"225",1975,"Sri Lanka",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"226",1975,"Sweden",1,1,1,0,3,0,1,13,0,0,1,1,0,1,0,0,0,0,0,0,0,1
"227",1975,"Switzerland",3,0,3,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,2,0,0
"228",1975,"Syria",2,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0
"229",1975,"Tanzania",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"230",1975,"Turkey",10,0,10,0,0,0,0,0,0,0,9,0,0,5,0,0,5,0,0,10,0,0
"231",1975,"United Kingdom",194,0,188,0,245,0,5,129,0,0,69,0,4,1,1,0,18,36,89,57,0,134
"232",1975,"United States",149,0,136,0,24,7,0,158,18,3,131,0,32,15,0,3,1,58,8,133,0,7
"233",1975,"Venezuela",5,0,4,0,0,0,0,0,0,0,4,1,3,0,0,0,0,1,1,3,0,0
"234",1975,"Zambia",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
